code,name,unit,price,quantity,category
"FF-1142","EMBUDO PLASTICO",UNO,"2500",2,"FERRETERIA",
"FF-1143","CANDADO PEQUEÑO",UNO,"450",1,"FERRETERIA",
"FF-1144","ESPAGUETI FINO",UNO,"300",0,"FERRETERIA",
"FF-1145","EXTENSION 10M",UNO,"3800",0,"FERRETERIA",
"FF-1146","ESPIGA CABLE",UNO,"350",0,"FERRETERIA",
"FF-1147","EMBUDO METAL",UNO,"2500",7,"FERRETERIA",
"FF-1148","CANDADO MEDIANO",UNO,"800",0,"FERRETERIA",
"FF-1149","GAMUZA CHIQUITA",UNO,"2500",0,"FERRETERIA",
"FF-1150","BARRENA  3MM",UNO,"350",22,"FERRETERIA",
"FF-1151","GAMUZA GRANDE",UNO,"2500",0,"FERRETERIA",
"FF-1153"," JUEGO CUBO METAL",UNO,"5000",0,"FERRETERIA",
"FF-1154","LIJA",UNO,"150",909,"FERRETERIA",
"FF-1155","LATIGUILLO METALICO",UNO,"900",2,"FERRETERIA",
"FF-1156","LLAVE TALADRO",UNO,"900",7,"FERRETERIA",
"FF-1158","LIJADORA",UNO,"20000",3,"FERRETERIA",
"FF-1159","LLAVIN PUERTA ANTICOPIA",UNO,"6000",5,"FERRETERIA",
"FF-1160","MASORCA TALADRO",UNO,"3800",3,"FERRETERIA",
"FF-1161","BARRENA 6 MM",UNO,"450",17,"FERRETERIA",
"FF-1162","MANILLA PUERTA CASA",UNO,"1200",2,"FERRETERIA",
"FF-1163","TOMAREGLETA",UNO,"500",0,"FERRETERIA",
"FF-1164","TEIPE",UNO,"350",48,"FERRETERIA",
"FF-1165","BARRENA 3.16",UNO,"400",5,"FERRETERIA",
"FF-1166","TORNILLO 6 mm",UNO,"120",30,"FERRETERIA",
"FF-1167","BARRENA 4 mm",UNO,"400",26,"FERRETERIA",
"FF-1168","TOMA DOBLE FABRICA",UNO,"900",28,"FERRETERIA",
"FF-1169","TORNILLO- 5",UNO,"100",0,"FERRETERIA",
"FF-1171","PRECINTA TRASPARENTE",UNO,"900",1,"FERRETERIA",
"FF-1172","BARRENA 5 MM",UNO,"400",22,"FERRETERIA",
"FF-1173","PRECINTA AIRE",UNO,"1500",0,"FERRETERIA",
"FF-1174","PELO CEGUETA",UNO,"200",0,"FERRETERIA",
"FF-1175","PRESILLA GAS MEDIANA",UNO,"150",23,"FERRETERIA",
"FF-1176","PRESILLA CHIQUITA",UNO,"120",8,"FERRETERIA",
"FF-1177","PLASTICOLA",UNO,"1300",0,"FERRETERIA",
"FF-1178","PICAPORTE",UNO,"3800",0,"FERRETERIA",
"FF-1179","PEGA BAJE",UNO,"3500",0,"FERRETERIA",
"FF-1180","PRESILLA METAL GRANDE",UNO,"400",58,"FERRETERIA",
"FF-1181","PEGA PLASTICO ACRILICO",UNO,"120",0,"FERRETERIA",
"FF-1182","PRECINTA DE NYLON",UNO,"1500",3,"FERRETERIA",
"FF-1183","BRIDA 3.6 X 150MM",UNO,"20",288,"FERRETERIA",
"FF-1184","CORRECTOR DE COLORES",UNO,"25",158,"FERRETERIA",
"FF-1185","PIEDRA  ESMERIL",UNO,"3500",0,"FERRETERIA",
"FF-1186","PRECINTA GRIS",UNO,"1500",0,"FERRETERIA",
"FF-1187","PRECINTA PAPEL",UNO,"1600",4,"FERRETERIA",
"FF-1188","PISTOLA GAS",UNO,"900",0,"FERRETERIA",
"FF-1189","REGULADOR VOLTAJE",UNO,"3500",0,"FERRETERIA",
